Hours_Studied,Attendance,Previous_Scores,Exam_Score,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Motivation_Level,Parental_Involvement,Teacher_Quality,School_Type,Classroom_Size,Number_of_Absences,Extracurricular_Activities,Does_Internet,Quality_of_Teaching
5,95,85,92,8,2,5,9,8,8,Private,30,1,Yes,Yes,Excellent
6,92,88,88,7,1,4,8,9,7,Public,35,2,Yes,Yes,Good
4,88,80,78,6,0,3,6,6,7,Public,40,4,No,Yes,Average
7,96,92,95,8,3,5,9,9,9,Private,25,0,Yes,Yes,Excellent
3,70,65,62,5,0,2,4,4,5,Public,50,10,No,Yes,Poor
5,90,82,85,7,2,4,7,7,8,Private,28,2,Yes,Yes,Good
6,94,90,91,8,2,5,8,8,8,Public,35,1,Yes,Yes,Excellent
4,82,78,75,6,1,3,5,5,6,Public,45,5,No,Yes,Average
7,98,95,97,8,3,5,9,9,9,Private,26,0,Yes,Yes,Excellent
5,88,85,82,7,1,4,7,7,7,Public,38,3,Yes,Yes,Good
6,92,88,89,8,2,5,8,8,8,Private,30,1,Yes,Yes,Excellent
4,85,80,79,6,1,3,6,6,6,Public,42,3,No,Yes,Average
5,90,86,84,7,2,4,7,7,7,Public,36,2,Yes,Yes,Good
7,96,93,94,8,3,5,9,9,9,Private,27,0,Yes,Yes,Excellent
3,75,70,68,5,0,2,5,5,5,Public,48,8,No,Yes,Poor
6,93,89,91,8,2,5,8,8,8,Private,31,1,Yes,Yes,Excellent
4,83,79,76,6,1,3,5,5,6,Public,44,4,No,Yes,Average
5,89,84,83,7,1,4,7,7,7,Public,39,2,Yes,Yes,Good
7,97,94,96,8,3,5,9,9,9,Private,25,0,Yes,Yes,Excellent
5,91,87,90,7,2,4,8,8,8,Public,35,1,Yes,Yes,Excellent
6,94,90,92,8,2,5,8,8,9,Private,29,1,Yes,Yes,Excellent
4,86,81,80,6,1,3,6,6,6,Public,41,3,No,Yes,Average
5,88,84,82,7,1,4,7,7,7,Public,37,3,Yes,Yes,Good
7,95,92,93,8,3,5,9,9,9,Private,28,0,Yes,Yes,Excellent
3,72,68,65,5,0,2,4,4,5,Public,49,9,No,Yes,Poor
6,92,88,89,7,2,4,8,8,8,Private,32,1,Yes,Yes,Excellent
5,87,83,81,7,1,4,6,7,7,Public,40,2,Yes,Yes,Good
4,84,80,77,6,1,3,5,5,6,Public,43,4,No,Yes,Average
6,93,89,90,8,2,5,8,8,8,Private,30,1,Yes,Yes,Excellent
7,96,93,95,8,3,5,9,9,9,Public,34,0,Yes,Yes,Excellent
5,90,86,85,7,2,4,7,7,8,Private,28,2,Yes,Yes,Good
4,82,78,75,6,1,3,5,5,6,Public,46,5,No,Yes,Average
6,91,87,88,8,2,4,8,8,8,Public,36,1,Yes,Yes,Excellent
5,89,85,84,7,1,4,7,7,7,Private,31,2,Yes,Yes,Good
7,97,94,96,8,3,5,9,9,9,Public,33,0,Yes,Yes,Excellent
3,76,71,69,5,0,2,5,5,5,Private,27,7,No,Yes,Poor
6,93,90,91,8,2,5,8,8,8,Public,37,1,Yes,Yes,Excellent
4,85,81,79,6,1,3,6,6,6,Private,29,3,No,Yes,Average
5,88,84,83,7,1,4,7,7,7,Public,38,2,Yes,Yes,Good
7,95,92,94,8,3,5,9,9,9,Private,26,0,Yes,Yes,Excellent
6,92,88,89,8,2,4,8,8,8,Public,35,1,Yes,Yes,Excellent
5,89,85,84,7,1,4,7,7,7,Private,30,2,Yes,Yes,Good
4,83,79,76,6,1,3,5,5,6,Public,42,4,No,Yes,Average
6,91,87,88,8,2,4,8,8,8,Public,36,1,Yes,Yes,Excellent
7,96,93,95,8,3,5,9,9,9,Private,28,0,Yes,Yes,Excellent
3,74,69,66,5,0,2,4,4,5,Public,50,9,No,Yes,Poor
5,87,83,81,7,1,4,6,7,7,Public,39,3,Yes,Yes,Good
6,94,90,92,8,2,5,8,8,9,Private,31,1,Yes,Yes,Excellent
4,84,80,78,6,1,3,5,5,6,Public,44,4,No,Yes,Average
7,97,94,96,8,3,5,9,9,9,Private,25,0,Yes,Yes,Excellent
